,,12/6/2025,,,12/7/2025,,,12/8/2025,,,12/9/2025,,,12/10/2025,,,12/11/25,,,12/12/25,,,12/13/2025,,,12/14/2025,,,12/15/2025,,,12/16/2025,,
ITEMS,,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN,NEW STOCK,DEDUCTION,REMAIN
Rice,kg,36,13,23,,13,10,48,7,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51,,,51
Chicharon,,20,7,13,,4,9,,4,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Berylis,bot,2,,2,,,2,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Bihon,kl,2,2,0,2,2,0,15,2,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13
Baking Soda,,14,,14,,3,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11
Royal,Bot.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Sprite,Bot.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Coke,Bot.,132,,132,,12,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120
Spag Box,Pack,8,1,7,,1,6,,1,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Mami Noodles,Pack,0,,0,3,3,0,2,2,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Corn Flakes,,5,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Ketchup,Gallon,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Tuyo,Gallon,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Knorr Seasoning,gal,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Garbage Bag,,2,2,0,2,1,1,2,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Tiny Bag,,10,2,8,,2,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6
Large Bag,pack,5,2,3,,1,2,5,1,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6
Fork Wood,Pack,12,,12,,2,10,,2,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8
Shortening,Kg,3,1,2,,1,1,4,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
Whipping Cream,Gallon,7,,7,,,7,,2,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Chicken Cubes,Pc,434,19,415,,22,393,,19,374,,,374,,,374,,,374,,,374,,,374,,,374,,,374,,,374
Beef Cubes,Pc,50,12,38,,6,32,,3,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29,,,29
Spoon Wood,Pack,10,3,7,,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
Chicken Powder,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Take out container,Pack,5,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Gulaman (Yellow),Pc,20,8,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12
Gulaman (Red),Pc,24,8,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16,,,16
Gulaman (White),Pc,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Gulaman (Green),Pc,20,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20
Gloves,Box,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
White Chocolate,pack,6,1,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
Dark Chocolate,pack,4,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
Grahams (200g),pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tylose,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Premium boxes,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1/2 Boxes,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1/4 Boxes,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Mini Boxes,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Board 11,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cake Board 8,Pc,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
menudo mix,pack,2,2,0,2,2,0,6,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
spag noodles,kl,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
tropicana,bot,1,1,0,2,1,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
surf powder,pcs,8,3,5,,2,3,6,2,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7
cheese slice,pack,2,,2,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
smart diswashing ,bot.,3,3,0,3,2,1,3,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
ice tea,pack,0,,0,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cont.sa kakanin,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
beef feet for balbacua,kls.,10,0,10,,,10,10,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20,,,20
brown bag #35,pack,4,1,3,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
brown bag#20,pack,4,1,3,,1,2,,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
burger plastic ,pack,10,,10,,2,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8
Glacin,pack,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Fondant big,Gal.,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Fondant small ,1/4 Gal.,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Liver spread,can,4,,4,,2,2,10,3,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9
Lunga,pack,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
crushed graham ,pack,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Brown bag#16,pack,2,,2,,2,0,4,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
Brown bag # 4,pack,4,1,3,,1,2,2,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4
brown bag # 5,pack,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Brown bag # 3,pack,4,1,3,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Brown bag # 2,pack,4,1,3,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
Brown bag # 1,pack ,5,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5
