Name,Category,Unit,"Display Unit","Display Factor",Quantity,"Reorder Level","Preferred Supplier","Restock Quantity"
"Mango Jam Small",,can,,1.0000,0.0000,0.0000,,0.0000
"mango. flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
mantica,,cont.,,1.0000,0.0000,0.0000,,0.0000
Mascobado,,g,kg,1000.0000,0.0000,0.0000,,0.0000
mayonnaise,,galon,,1.0000,0.0000,0.0000,,0.0000
"Mc 500 container",,pcs,,1.0000,0.0000,0.0000,,0.0000
"mc 750",,pack,,1.0000,0.0000,0.0000,,0.0000
"menudo mix",,pack,,1.0000,4.0000,0.0000,,0.0000
"Mineral Water",,box,,1.0000,17.0000,0.0000,,0.0000
"Mini Boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Mixed Mushroom",,can,,1.0000,0.0000,0.0000,,0.0000
"mocha flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"Mongo Beans",,bot,,1.0000,6.0000,0.0000,,0.0000
"Mushroom Cream",,pack,,1.0000,0.0000,0.0000,,0.0000
"Mushroom Gravy",,pack,,1.0000,0.0000,0.0000,,0.0000
"nacho cheese sauce 3.01kg.",,can,,1.0000,0.0000,0.0000,,0.0000
"Nacho Chips",,pack,,1.0000,0.0000,0.0000,,0.0000
nangka,,bot,,1.0000,0.0000,0.0000,,0.0000
"Nata de Coco green",,pack,,1.0000,0.0000,0.0000,,0.0000
"Nata de coco red",,pack,,1.0000,0.0000,0.0000,,0.0000
"Nescafe 185g.",,pack,,1.0000,2.0000,0.0000,,0.0000
"ofsitin container",,pcs,,1.0000,0.0000,0.0000,,0.0000
oxtripe,,klo.,,1.0000,0.0000,0.0000,,0.0000
"paint sa baka",,klos,,1.0000,0.0000,0.0000,,0.0000
"palabok meat  1 1/2",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Palabok Mix",,pack,,1.0000,0.0000,0.0000,,0.0000
"pamenta liso",,pack,,1.0000,0.0000,0.0000,,0.0000
"paminta  liso",,pack,,1.0000,0.0000,0.0000,,0.0000
Paprika,,bot,,1.0000,0.0000,0.0000,,0.0000
"Parmesan Cheese",,bot,,1.0000,0.0000,0.0000,,0.0000
Parsley,,bot,,1.0000,0.0000,0.0000,,0.0000
pasas,,g,kg,1000.0000,2000.0000,0.0000,,0.0000
"Pasta Alfredo",,klo,,1.0000,0.0000,0.0000,,0.0000
"PATA slice",,kl.,,1.0000,0.0000,0.0000,,0.0000
patatas,,g,kg,1000.0000,0.0000,0.0000,,0.0000
peaches,,can,,1.0000,0.0000,0.0000,,0.0000
"peanut butter big",,bot,,1.0000,0.0000,0.0000,,0.0000
"peanut butter s.",,bot,,1.0000,0.0000,0.0000,,0.0000
pickles,,bot,,1.0000,0.0000,0.0000,,0.0000
Pilit,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pineapple juice",,can,,1.0000,0.0000,0.0000,,0.0000
"plastic sa sauce (8x12",,pack,,1.0000,8.0000,0.0000,,0.0000
"Pleasure Gold",,pcs,,1.0000,36.0000,0.0000,,0.0000
"pork adobo cut",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pork belly humba",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"pork meat for burger",,klos.,,1.0000,0.0000,0.0000,,0.0000
"pork menudo",,klo.,,1.0000,0.0000,0.0000,,0.0000
"precut tissue",,pack,,1.0000,0.0000,0.0000,,0.0000
"Premium boxes",,pcs,,1.0000,0.0000,0.0000,,0.0000
"Presto biscuit",,pack,,1.0000,3.0000,0.0000,,0.0000
"red velvet",,g,kg,1000.0000,20000.0000,0.0000,,0.0000
ribbon,,roll,,1.0000,2.0000,0.0000,,0.0000
Rice,,g,kg,1000.0000,51000.0000,0.0000,,0.0000
"Rice flour 500grms",,bag,,1.0000,0.0000,0.0000,,0.0000
"rice for lugaw",,pack,,1.0000,10.0000,0.0000,,0.0000
"rice use taas ( am.)",,700gms,,1.0000,0.0000,0.0000,,0.0000
"rice use taas (pm.)",,300gms,,1.0000,0.0000,0.0000,,0.0000
"Roll bag",,pack,,1.0000,15.0000,0.0000,,0.0000
Royal,,bot,,1.0000,0.0000,0.0000,,0.0000
"royal in can 24",,case,,1.0000,6.0000,0.0000,,0.0000
Rufina,,bot,,1.0000,3.0000,0.0000,,0.0000
"salad cup",,pack,,1.0000,2.0000,0.0000,,0.0000
"sambo container",,pack,,1.0000,0.0000,0.0000,,0.0000
Sausage,,pcs,,1.0000,0.0000,0.0000,,0.0000
Shortening,,g,kg,1000.0000,4000.0000,0.0000,,0.0000
"shrimp cubes",,pcs,,1.0000,12.0000,0.0000,,0.0000
"shrimp powder",,g,kg,1000.0000,0.0000,0.0000,,0.0000
"siopao meat",,kls,,1.0000,0.0000,0.0000,,0.0000
"sipao 5kl.Dough",,bag,,1.0000,7.0000,0.0000,,0.0000
"slice container  for cake's slice",,pack,,1.0000,1.0000,0.0000,,0.0000
"smart diswashing",,bot,,1.0000,2.0000,0.0000,,0.0000
sorbate,,pack,,1.0000,0.0000,0.0000,,0.0000
"Spag Box",,pack,,1.0000,5.0000,0.0000,,0.0000
"spag noodles",,g,kg,1000.0000,2000.0000,0.0000,,0.0000
"spaghetti sauce 1kg.",,pack,,1.0000,3.0000,0.0000,,0.0000
"Spaghetti Spice Mix",,pack,,1.0000,1.0000,0.0000,,0.0000
"Spoon Wood",,pack,,1.0000,4.0000,0.0000,,0.0000
"spoons sa halo2x t.o",,pack,,1.0000,5.0000,0.0000,,0.0000
Sprite,,bot,,1.0000,0.0000,0.0000,,0.0000
"sprite in can 24",,case,,1.0000,5.0000,0.0000,,0.0000
"straw for shake",,pack,,1.0000,11.0000,0.0000,,0.0000
"strawberry jam",,gal,,1.0000,1.0000,0.0000,,0.0000
suka,,gal,,1.0000,1.0000,0.0000,,0.0000
"surf powder",,pcs,,1.0000,7.0000,0.0000,,0.0000
"swan flour",,pack,,1.0000,0.0000,0.0000,,0.0000
"t.o plastic double",,pack,,1.0000,8.0000,0.0000,,0.0000
"t.o plastic single",,pack,,1.0000,5.0000,0.0000,,0.0000
"taco seasoning",,pack,,1.0000,0.0000,0.0000,,0.0000
"taco shell",,box,,1.0000,0.0000,0.0000,,0.0000
"Take out container",,pack,,1.0000,5.0000,0.0000,,0.0000
"Tomato Paste (S)",,pack,,1.0000,0.0000,0.0000,,0.0000
"tomato sauce",,can,,1.0000,0.0000,0.0000,,0.0000
"Tomato Sauce (115g)",,pack,,1.0000,0.0000,0.0000,,0.0000
"Tomato Sauce (250g)",,pack,,1.0000,0.0000,0.0000,,0.0000
"tomato sauce 1kgn",,pack,,1.0000,0.0000,0.0000,,0.0000
"toot pick",,pack,,1.0000,0.0000,0.0000,,0.0000
tropicana,,bot,,1.0000,1.0000,0.0000,,0.0000
tuna,,can,,1.0000,0.0000,0.0000,,0.0000
turmeric,,bot,,1.0000,0.0000,0.0000,,0.0000
Tuyo,,gal,,1.0000,1.0000,0.0000,,0.0000
Tylose,,pack,,1.0000,0.0000,0.0000,,0.0000
"Ube Alaska Condense",,can,,1.0000,0.0000,0.0000,,0.0000
"Ube Flavor",,bot,,1.0000,0.0000,0.0000,,0.0000
"ube paste",,klo,,1.0000,0.0000,0.0000,,0.0000
"Vana Blanca",,g,,1.0000,0.0000,0.0000,,0.0000
Vanilla,,L,,1.0000,0.0000,0.0000,,0.0000
walnuts,,g,kg,1000.0000,0.0000,0.0000,,0.0000
"Whipping Cream",,gallon,,1.0000,5.0000,0.0000,,0.0000
whippit,,kl.,,1.0000,0.0000,0.0000,,0.0000
"white chips 1/2",,pack,,1.0000,0.0000,0.0000,,0.0000
"White Chocolate",,pack,,1.0000,5.0000,0.0000,,0.0000
"white paper",,bot,,1.0000,0.0000,0.0000,,0.0000
"White Sugar",,g,kg,1000.0000,40000.0000,0.0000,,0.0000
"Whole Corn",,can,,1.0000,4.0000,0.0000,,0.0000
"whole mushroom big",,can,,1.0000,0.0000,0.0000,,0.0000
yeast,,pack,,1.0000,0.0000,0.0000,,0.0000
